"","vote_2020","gender","race","educd","state","age","dummy_vote","stateicp"
"2498","Donald Trump","female","white","Graduated college","AZ","45 to 55",0,"arizona"
"2499","Joe Biden","male","white","Graduated high school","NY","45 to 55",1,"new york"
"2500","Donald Trump","male","white","Didn't graduate high school","PA","60 plus",0,"pennsylvania"
"2501","Joe Biden","male","white","Graduated college","MD","30 to 44",1,"maryland"
"2502","Joe Biden","male","white","Graduated college","CA","30 to 44",1,"california"
"2503","Donald Trump","female","white","Graduated college","CA","30 to 44",0,"california"
"2504","Joe Biden","male","other race, nec","Graduated college","CA","18 to 29",1,"california"
"2505","Donald Trump","male","white","Graduated college","IL","60 plus",0,"illinois"
"2506","Donald Trump","female","white","Graduated college","MO","45 to 55",0,"missouri"
"2507","Donald Trump","female","white","Graduated college","PA","45 to 55",0,"pennsylvania"
"2508","Donald Trump","male","white","Didn't graduate high school","UT","30 to 44",0,"utah"
"2509","Donald Trump","male","white","Graduated high school","NY","18 to 29",0,"new york"
"2510","Joe Biden","male","white","Graduated college","NJ","60 plus",1,"new jersey"
"2511","Donald Trump","female","white","Didn't graduate high school","CA","45 to 55",0,"california"
"2512","Donald Trump","male","white","Didn't graduate college","MI","60 plus",0,"michigan"
"2513","Donald Trump","female","white","Didn't graduate college","SC","60 plus",0,"south carolina"
"2514","Donald Trump","female","white","Didn't graduate college","VA","30 to 44",0,"virginia"
"2515","Donald Trump","male","white","Graduated college","FL","60 plus",0,"florida"
"2516","Donald Trump","female","white","Graduated college","SC","45 to 55",0,"south carolina"
"2517","Joe Biden","female","other race, nec","Graduated college","NJ","60 plus",1,"new jersey"
"2518","Joe Biden","female","other race, nec","Graduated high school","FL","60 plus",1,"florida"
"2519","Joe Biden","male","white","Graduated college","VA","45 to 55",1,"virginia"
"2520","Joe Biden","male","black/african american","Didn't graduate college","FL","45 to 55",1,"florida"
"2521","Donald Trump","male","white","Didn't graduate college","FL","45 to 55",0,"florida"
"2522","Joe Biden","female","white","Didn't graduate college","SD","30 to 44",1,"south dakota"
"2523","Joe Biden","male","white","Graduated college","AL","18 to 29",1,"alabama"
"2524","Donald Trump","male","white","Graduated college","WI","45 to 55",0,"wisconsin"
"2525","Joe Biden","male","white","Graduated college","NY","60 plus",1,"new york"
"2526","Joe Biden","male","black/african american","Graduated college","NY","18 to 29",1,"new york"
"2527","Joe Biden","male","white","Graduated college","OR","45 to 55",1,"oregon"
"2528","Donald Trump","female","white","Didn't graduate college","TN","30 to 44",0,"tennessee"
"2529","Donald Trump","female","white","Didn't graduate college","CA","45 to 55",0,"california"
"2530","Donald Trump","female","white","Didn't graduate high school","IA","45 to 55",0,"iowa"
"2531","Donald Trump","male","white","Didn't graduate high school","IN","18 to 29",0,"indiana"
"2532","Donald Trump","female","white","Didn't graduate high school","WV","18 to 29",0,"west virginia"
"2533","Joe Biden","female","black/african american","Graduated high school","FL","45 to 55",1,"florida"
"2534","Joe Biden","male","black/african american","Graduated high school","OH","60 plus",1,"ohio"
"2535","Joe Biden","female","black/african american","Didn't graduate high school","OH","18 to 29",1,"ohio"
"2536","Joe Biden","female","white","Didn't graduate high school","NC","18 to 29",1,"north carolina"
"2537","Donald Trump","female","white","Graduated high school","FL","18 to 29",0,"florida"
"2538","Donald Trump","male","white","Graduated high school","OH","45 to 55",0,"ohio"
"2539","Donald Trump","male","white","Graduated college","AZ","60 plus",0,"arizona"
"2540","Donald Trump","male","white","Graduated college","NJ","30 to 44",0,"new jersey"
"2541","Joe Biden","female","white","Didn't graduate high school","MI","45 to 55",1,"michigan"
"2542","Donald Trump","male","white","Graduated college","ND","30 to 44",0,"north dakota"
"2543","Joe Biden","female","white","Didn't graduate high school","OH","30 to 44",1,"ohio"
"2544","Joe Biden","female","black/african american","Didn't graduate high school","GA","45 to 55",1,"georgia"
"2545","Joe Biden","male","black/african american","Graduated high school","CA","45 to 55",1,"california"
"2546","Joe Biden","male","white","Didn't graduate high school","WA","30 to 44",1,"washington"
"2547","Joe Biden","male","white","Graduated college","AZ","60 plus",1,"arizona"
"2548","Donald Trump","female","white","Graduated college","IL","60 plus",0,"illinois"
"2549","Joe Biden","male","other race, nec","Graduated high school","CA","30 to 44",1,"california"
"2550","Joe Biden","male","white","Graduated college","MN","60 plus",1,"minnesota"
"2551","Joe Biden","male","white","Graduated high school","NJ","60 plus",1,"new jersey"
"2552","Joe Biden","male","other asian or pacific islander","Graduated college","MS","18 to 29",1,"mississippi"
"2553","Joe Biden","male","white","Graduated college","CO","60 plus",1,"colorado"
"2554","Donald Trump","male","white","Graduated college","SD","30 to 44",0,"south dakota"
"2555","Donald Trump","female","white","Graduated college","MS","30 to 44",0,"mississippi"
"2556","Joe Biden","male","white","Didn't graduate college","OR","45 to 55",1,"oregon"
"2557","Joe Biden","female","white","Didn't graduate high school","MI","60 plus",1,"michigan"
"2558","Joe Biden","male","white","Graduated college","GA","45 to 55",1,"georgia"
"2559","Donald Trump","male","other race, nec","Didn't graduate college","CA","45 to 55",0,"california"
"2560","Joe Biden","female","white","Graduated college","CA","18 to 29",1,"california"
"2561","Joe Biden","female","white","Graduated college","MI","60 plus",1,"michigan"
"2562","Joe Biden","female","white","Graduated college","FL","60 plus",1,"florida"
"2563","Joe Biden","female","white","Graduated high school","NC","45 to 55",1,"north carolina"
"2564","Donald Trump","male","white","Graduated high school","TN","18 to 29",0,"tennessee"
"2565","Donald Trump","female","white","Graduated college","OK","45 to 55",0,"oklahoma"
"2566","Joe Biden","male","white","Didn't graduate college","CA","30 to 44",1,"california"
"2567","Donald Trump","male","white","Graduated high school","NJ","30 to 44",0,"new jersey"
"2568","Joe Biden","female","white","Graduated college","MI","60 plus",1,"michigan"
"2569","Joe Biden","female","white","Didn't graduate college","AR","18 to 29",1,"arkansas"
"2570","Joe Biden","female","black/african american","Graduated high school","NC","60 plus",1,"north carolina"
"2571","Joe Biden","female","white","Didn't graduate high school","CA","18 to 29",1,"california"
"2572","Joe Biden","female","white","Didn't graduate high school","PA","18 to 29",1,"pennsylvania"
"2573","Donald Trump","female","white","Graduated college","TN","60 plus",0,"tennessee"
"2574","Donald Trump","female","white","Graduated college","SC","60 plus",0,"south carolina"
"2575","Donald Trump","female","white","Didn't graduate college","VA","60 plus",0,"virginia"
"2576","Donald Trump","male","white","Graduated high school","TN","30 to 44",0,"tennessee"
"2577","Donald Trump","male","white","Didn't graduate college","CA","45 to 55",0,"california"
"2578","Donald Trump","female","white","Didn't graduate college","NC","45 to 55",0,"north carolina"
"2579","Joe Biden","female","white","Didn't graduate college","CA","18 to 29",1,"california"
"2580","Joe Biden","female","other race, nec","Graduated high school","CA","18 to 29",1,"california"
"2581","Joe Biden","female","white","Didn't graduate college","IA","60 plus",1,"iowa"
"2582","Joe Biden","female","other race, nec","Graduated high school","CA","18 to 29",1,"california"
"2583","Joe Biden","male","black/african american","Didn't graduate high school","IL","45 to 55",1,"illinois"
"2584","Joe Biden","female","black/african american","Didn't graduate college","FL","45 to 55",1,"florida"
"2585","Joe Biden","female","white","Didn't graduate high school","CA","18 to 29",1,"california"
"2586","Joe Biden","female","black/african american","Didn't graduate college","VA","30 to 44",1,"virginia"
"2587","Donald Trump","female","white","Graduated high school","AR","60 plus",0,"arkansas"
"2588","Donald Trump","male","black/african american","Didn't graduate high school","NY","30 to 44",0,"new york"
"2589","Joe Biden","female","other race, nec","Didn't graduate college","VA","18 to 29",1,"virginia"
"2590","Joe Biden","male","black/african american","Graduated high school","MA","18 to 29",1,"massachusetts"
"2591","Donald Trump","male","white","Didn't graduate high school","GA","30 to 44",0,"georgia"
"2592","Donald Trump","male","white","Graduated college","SC","60 plus",0,"south carolina"
"2593","Donald Trump","female","white","Graduated college","CT","60 plus",0,"connecticut"
"2594","Donald Trump","female","other race, nec","Didn't graduate college","OR","45 to 55",0,"oregon"
"2595","Donald Trump","male","white","Graduated college","OK","45 to 55",0,"oklahoma"
"2596","Donald Trump","female","white","Didn't graduate high school","AR","18 to 29",0,"arkansas"
"2597","Donald Trump","female","black/african american","Didn't graduate college","NC","18 to 29",0,"north carolina"
"2598","Donald Trump","male","white","Didn't graduate college","MO","30 to 44",0,"missouri"
"2599","Joe Biden","male","white","Graduated college","ME","30 to 44",1,"maine"
"2600","Donald Trump","male","white","Graduated college","FL","60 plus",0,"florida"
"2601","Donald Trump","male","white","Graduated college","FL","45 to 55",0,"florida"
"2602","Joe Biden","female","american indian or alaska native","Graduated high school","CA","18 to 29",1,"california"
