"","vote_2020","gender","race","educd","state","age","dummy_vote","stateicp"
"1541","Joe Biden","female","white","Graduated college","VA","30 to 44",1,"virginia"
"1542","Donald Trump","female","white","Didn't graduate high school","AL","18 to 29",0,"alabama"
"1543","Donald Trump","male","white","Graduated college","NJ","60 plus",0,"new jersey"
"1544","Joe Biden","male","white","Graduated college","CT","60 plus",1,"connecticut"
"1545","Joe Biden","male","black/african american","Graduated high school","NJ","30 to 44",1,"new jersey"
"1546","Joe Biden","male","white","Didn't graduate college","IA","18 to 29",1,"iowa"
"1547","Donald Trump","male","chinese","Graduated college","HI","45 to 55",0,"hawaii"
"1548","Joe Biden","female","black/african american","Graduated college","WI","60 plus",1,"wisconsin"
"1549","Donald Trump","male","white","Graduated college","IA","45 to 55",0,"iowa"
"1550","Donald Trump","male","white","Graduated college","AR","45 to 55",0,"arkansas"
"1551","Donald Trump","male","white","Graduated high school","FL","18 to 29",0,"florida"
"1552","Donald Trump","female","white","Didn't graduate college","AR","60 plus",0,"arkansas"
"1553","Joe Biden","female","black/african american","Graduated college","NJ","45 to 55",1,"new jersey"
"1554","Donald Trump","female","white","Graduated college","CA","60 plus",0,"california"
"1555","Joe Biden","male","other race, nec","Didn't graduate high school","GA","18 to 29",1,"georgia"
"1556","Joe Biden","female","white","Graduated high school","CA","60 plus",1,"california"
"1557","Joe Biden","male","white","Graduated college","NJ","45 to 55",1,"new jersey"
"1558","Joe Biden","male","white","Graduated college","PA","45 to 55",1,"pennsylvania"
"1559","Donald Trump","female","white","Graduated college","ND","60 plus",0,"north dakota"
"1560","Donald Trump","male","white","Graduated high school","PA","60 plus",0,"pennsylvania"
"1561","Joe Biden","male","white","Graduated college","TX","45 to 55",1,"texas"
"1562","Joe Biden","female","white","Graduated college","GA","45 to 55",1,"georgia"
"1563","Joe Biden","male","white","Graduated college","MD","60 plus",1,"maryland"
"1564","Joe Biden","female","white","Graduated college","VA","45 to 55",1,"virginia"
"1565","Donald Trump","male","white","Graduated college","IL","30 to 44",0,"illinois"
"1566","Donald Trump","female","white","Didn't graduate high school","TN","18 to 29",0,"tennessee"
"1567","Donald Trump","female","white","Graduated college","NJ","60 plus",0,"new jersey"
"1568","Donald Trump","male","white","Graduated college","TX","30 to 44",0,"texas"
"1569","Donald Trump","female","white","Graduated college","VA","60 plus",0,"virginia"
"1570","Joe Biden","male","other race, nec","Didn't graduate high school","MS","18 to 29",1,"mississippi"
"1571","Donald Trump","female","white","Graduated college","TX","60 plus",0,"texas"
"1572","Donald Trump","male","white","Graduated college","FL","30 to 44",0,"florida"
"1573","Joe Biden","male","white","Graduated college","VA","60 plus",1,"virginia"
"1574","Donald Trump","female","white","Graduated high school","ID","60 plus",0,"idaho"
"1575","Donald Trump","male","white","Graduated college","NY","60 plus",0,"new york"
"1576","Donald Trump","female","white","Didn't graduate college","OR","60 plus",0,"oregon"
"1577","Donald Trump","female","other race, nec","Didn't graduate college","VA","60 plus",0,"virginia"
"1578","Joe Biden","male","white","Didn't graduate college","MA","18 to 29",1,"massachusetts"
"1579","Donald Trump","male","white","Didn't graduate college","FL","60 plus",0,"florida"
"1580","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"1581","Donald Trump","male","white","Graduated college","OH","30 to 44",0,"ohio"
"1582","Joe Biden","female","black/african american","Graduated college","GA","18 to 29",1,"georgia"
"1583","Joe Biden","female","other race, nec","Didn't graduate college","FL","45 to 55",1,"florida"
"1584","Donald Trump","male","white","Didn't graduate college","NJ","60 plus",0,"new jersey"
"1585","Joe Biden","female","white","Graduated college","MA","60 plus",1,"massachusetts"
"1586","Joe Biden","male","other asian or pacific islander","Graduated college","MA","30 to 44",1,"massachusetts"
"1587","Donald Trump","male","white","Didn't graduate high school","IN","30 to 44",0,"indiana"
"1588","Donald Trump","female","white","Graduated high school","AL","45 to 55",0,"alabama"
"1589","Joe Biden","female","other race, nec","Didn't graduate college","ID","60 plus",1,"idaho"
"1590","Joe Biden","male","white","Graduated college","NY","30 to 44",1,"new york"
"1591","Donald Trump","female","white","Graduated high school","IL","60 plus",0,"illinois"
"1592","Joe Biden","male","white","Graduated college","CA","60 plus",1,"california"
"1593","Donald Trump","male","white","Graduated high school","TX","18 to 29",0,"texas"
"1594","Donald Trump","male","other race, nec","Graduated high school","IL","18 to 29",0,"illinois"
"1595","Donald Trump","male","white","Graduated college","MO","18 to 29",0,"missouri"
"1596","Joe Biden","female","white","Didn't graduate college","NC","60 plus",1,"north carolina"
"1597","Donald Trump","male","white","Graduated college","GA","30 to 44",0,"georgia"
"1598","Joe Biden","male","white","Graduated college","WA","30 to 44",1,"washington"
"1599","Joe Biden","male","white","Didn't graduate college","IN","18 to 29",1,"indiana"
"1600","Joe Biden","male","white","Graduated college","TX","60 plus",1,"texas"
"1601","Joe Biden","male","white","Graduated college","PA","60 plus",1,"pennsylvania"
"1602","Donald Trump","male","white","Graduated college","NC","30 to 44",0,"north carolina"
"1603","Joe Biden","female","white","Graduated college","AZ","60 plus",1,"arizona"
"1604","Joe Biden","male","white","Graduated college","CA","45 to 55",1,"california"
"1605","Joe Biden","female","white","Graduated high school","TX","45 to 55",1,"texas"
"1606","Donald Trump","female","white","Didn't graduate high school","IL","18 to 29",0,"illinois"
"1607","Donald Trump","male","white","Didn't graduate college","WA","30 to 44",0,"washington"
"1608","Joe Biden","male","black/african american","Graduated high school","CO","60 plus",1,"colorado"
"1609","Joe Biden","male","black/african american","Graduated high school","FL","30 to 44",1,"florida"
"1610","Donald Trump","female","white","Didn't graduate college","FL","60 plus",0,"florida"
"1611","Joe Biden","male","white","Graduated college","PA","45 to 55",1,"pennsylvania"
"1612","Joe Biden","male","other race, nec","Didn't graduate college","FL","18 to 29",1,"florida"
"1613","Donald Trump","male","black/african american","Graduated high school","CA","45 to 55",0,"california"
"1614","Donald Trump","male","white","Graduated college","MS","45 to 55",0,"mississippi"
"1615","Donald Trump","male","white","Didn't graduate college","UT","18 to 29",0,"utah"
"1616","Donald Trump","male","white","Graduated college","TX","45 to 55",0,"texas"
"1617","Joe Biden","male","white","Graduated college","PA","30 to 44",1,"pennsylvania"
"1618","Joe Biden","male","american indian or alaska native","Graduated college","CA","30 to 44",1,"california"
"1619","Joe Biden","male","black/african american","Didn't graduate college","MO","30 to 44",1,"missouri"
"1620","Donald Trump","male","white","Graduated college","MD","30 to 44",0,"maryland"
"1621","Joe Biden","male","white","Graduated college","VA","30 to 44",1,"virginia"
"1622","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"1623","Donald Trump","male","white","Didn't graduate college","WA","60 plus",0,"washington"
"1624","Donald Trump","male","white","Graduated high school","UT","45 to 55",0,"utah"
"1625","Donald Trump","male","white","Didn't graduate high school","CA","45 to 55",0,"california"
"1626","Joe Biden","female","white","Graduated college","WA","30 to 44",1,"washington"
"1627","Joe Biden","male","other asian or pacific islander","Graduated college","HI","30 to 44",1,"hawaii"
"1628","Joe Biden","male","white","Graduated college","VA","18 to 29",1,"virginia"
"1629","Joe Biden","female","black/african american","Didn't graduate college","AZ","30 to 44",1,"arizona"
"1630","Joe Biden","female","white","Graduated college","DC","60 plus",1,"district of columbia"
"1631","Joe Biden","male","white","Graduated college","WI","60 plus",1,"wisconsin"
"1632","Donald Trump","female","white","Graduated college","OH","18 to 29",0,"ohio"
"1633","Joe Biden","female","other asian or pacific islander","Graduated college","NY","18 to 29",1,"new york"
"1634","Joe Biden","female","other race, nec","Graduated college","MA","30 to 44",1,"massachusetts"
"1635","Donald Trump","male","white","Graduated high school","NJ","60 plus",0,"new jersey"
"1636","Donald Trump","female","white","Didn't graduate college","MO","45 to 55",0,"missouri"
"1637","Joe Biden","female","black/african american","Graduated college","NC","45 to 55",1,"north carolina"
"1638","Donald Trump","male","white","Graduated college","OH","45 to 55",0,"ohio"
"1639","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"1640","Joe Biden","female","black/african american","Graduated college","MS","30 to 44",1,"mississippi"
"1641","Joe Biden","female","white","Graduated college","AL","30 to 44",1,"alabama"
"1642","Joe Biden","male","white","Graduated college","VA","45 to 55",1,"virginia"
"1643","Donald Trump","male","white","Graduated high school","PA","60 plus",0,"pennsylvania"
"1644","Joe Biden","male","white","Graduated college","ME","30 to 44",1,"maine"
"1645","Donald Trump","male","white","Graduated college","MO","30 to 44",0,"missouri"
"1646","Joe Biden","male","chinese","Graduated college","CA","30 to 44",1,"california"
"1647","Joe Biden","female","other race, nec","Didn't graduate college","NC","30 to 44",1,"north carolina"
"1648","Donald Trump","female","white","Graduated high school","AZ","60 plus",0,"arizona"
"1649","Donald Trump","male","white","Graduated college","WA","30 to 44",0,"washington"
"1650","Donald Trump","male","white","Graduated high school","CA","18 to 29",0,"california"
"1651","Donald Trump","male","white","Graduated college","KS","18 to 29",0,"kansas"
"1652","Donald Trump","male","white","Graduated college","LA","45 to 55",0,"louisiana"
"1653","Joe Biden","male","white","Graduated college","PA","30 to 44",1,"pennsylvania"
"1654","Donald Trump","female","white","Didn't graduate high school","AL","30 to 44",0,"alabama"
"1655","Donald Trump","female","white","Graduated college","WA","60 plus",0,"washington"
"1656","Donald Trump","male","white","Graduated college","TX","30 to 44",0,"texas"
"1657","Donald Trump","male","white","Graduated college","TX","30 to 44",0,"texas"
"1658","Donald Trump","female","white","Didn't graduate high school","NC","30 to 44",0,"north carolina"
"1659","Donald Trump","female","white","Didn't graduate college","MD","45 to 55",0,"maryland"
"1660","Donald Trump","male","white","Graduated college","TN","30 to 44",0,"tennessee"
"1661","Joe Biden","female","white","Didn't graduate college","CT","30 to 44",1,"connecticut"
"1662","Joe Biden","male","white","Graduated college","KY","60 plus",1,"kentucky"
"1663","Donald Trump","female","white","Didn't graduate high school","NC","30 to 44",0,"north carolina"
"1664","Donald Trump","male","white","Graduated college","FL","30 to 44",0,"florida"
"1665","Joe Biden","female","other race, nec","Didn't graduate high school","MD","30 to 44",1,"maryland"
"1666","Donald Trump","female","white","Graduated college","FL","30 to 44",0,"florida"
"1667","Donald Trump","female","white","Didn't graduate college","SC","30 to 44",0,"south carolina"
"1668","Donald Trump","female","white","Graduated high school","PA","60 plus",0,"pennsylvania"
"1669","Joe Biden","female","black/african american","Graduated high school","SC","30 to 44",1,"south carolina"
"1670","Joe Biden","female","black/african american","Graduated college","CT","60 plus",1,"connecticut"
"1671","Joe Biden","male","white","Graduated college","NY","45 to 55",1,"new york"
"1672","Donald Trump","male","white","Didn't graduate high school","GA","45 to 55",0,"georgia"
"1673","Joe Biden","male","white","Didn't graduate college","OH","30 to 44",1,"ohio"
"1674","Donald Trump","female","white","Didn't graduate high school","AL","30 to 44",0,"alabama"
"1675","Donald Trump","female","other asian or pacific islander","Didn't graduate high school","KS","18 to 29",0,"kansas"
"1676","Donald Trump","female","white","Didn't graduate high school","FL","30 to 44",0,"florida"
"1677","Joe Biden","female","white","Graduated college","VA","30 to 44",1,"virginia"
"1678","Donald Trump","female","white","Graduated high school","CA","45 to 55",0,"california"
"1679","Joe Biden","female","black/african american","Didn't graduate high school","MI","30 to 44",1,"michigan"
"1680","Joe Biden","female","black/african american","Didn't graduate high school","MD","30 to 44",1,"maryland"
"1681","Donald Trump","female","white","Graduated college","VA","30 to 44",0,"virginia"
"1682","Donald Trump","male","white","Graduated high school","NY","30 to 44",0,"new york"
"1683","Donald Trump","female","white","Didn't graduate high school","KY","18 to 29",0,"kentucky"
"1684","Joe Biden","male","white","Graduated college","NY","30 to 44",1,"new york"
"1685","Donald Trump","female","white","Graduated high school","GA","60 plus",0,"georgia"
"1686","Joe Biden","male","black/african american","Graduated college","VA","18 to 29",1,"virginia"
"1687","Joe Biden","male","white","Graduated college","NY","30 to 44",1,"new york"
"1688","Joe Biden","female","other asian or pacific islander","Graduated college","CT","18 to 29",1,"connecticut"
"1689","Donald Trump","female","white","Graduated high school","NC","30 to 44",0,"north carolina"
"1690","Donald Trump","female","white","Didn't graduate college","AR","30 to 44",0,"arkansas"
"1691","Joe Biden","female","black/african american","Graduated college","IL","18 to 29",1,"illinois"
"1692","Donald Trump","female","other race, nec","Graduated high school","AK","45 to 55",0,"alaska"
"1693","Joe Biden","male","white","Graduated college","CT","45 to 55",1,"connecticut"
"1694","Donald Trump","male","white","Graduated college","KS","60 plus",0,"kansas"
"1695","Donald Trump","female","white","Graduated college","VA","30 to 44",0,"virginia"
"1696","Donald Trump","male","white","Graduated college","CO","30 to 44",0,"colorado"
"1697","Donald Trump","male","white","Graduated high school","NJ","30 to 44",0,"new jersey"
"1698","Joe Biden","female","white","Graduated college","CO","45 to 55",1,"colorado"
"1699","Joe Biden","female","chinese","Didn't graduate high school","NJ","18 to 29",1,"new jersey"
"1700","Joe Biden","female","white","Graduated college","NM","45 to 55",1,"new mexico"
"1701","Joe Biden","female","white","Graduated college","MN","18 to 29",1,"minnesota"
"1702","Donald Trump","female","black/african american","Didn't graduate high school","IL","18 to 29",0,"illinois"
"1703","Donald Trump","female","white","Graduated college","MI","30 to 44",0,"michigan"
"1704","Joe Biden","male","black/african american","Graduated high school","NY","18 to 29",1,"new york"
"1705","Joe Biden","male","white","Graduated high school","NY","30 to 44",1,"new york"
"1706","Donald Trump","female","white","Graduated high school","MN","60 plus",0,"minnesota"
"1707","Joe Biden","female","white","Graduated college","MI","30 to 44",1,"michigan"
"1708","Joe Biden","female","white","Graduated college","AK","18 to 29",1,"alaska"
"1709","Joe Biden","female","chinese","Didn't graduate college","WA","45 to 55",1,"washington"
"1710","Joe Biden","female","white","Graduated college","MI","18 to 29",1,"michigan"
"1711","Joe Biden","female","black/african american","Didn't graduate high school","NC","30 to 44",1,"north carolina"
"1712","Donald Trump","male","other asian or pacific islander","Didn't graduate college","HI","45 to 55",0,"hawaii"
"1713","Joe Biden","female","white","Graduated college","IL","45 to 55",1,"illinois"
"1714","Joe Biden","female","white","Graduated college","CT","30 to 44",1,"connecticut"
"1715","Joe Biden","female","white","Didn't graduate college","NC","30 to 44",1,"north carolina"
"1716","Joe Biden","female","black/african american","Didn't graduate college","TN","18 to 29",1,"tennessee"
"1717","Joe Biden","female","other asian or pacific islander","Graduated college","MD","45 to 55",1,"maryland"
"1718","Donald Trump","male","white","Graduated college","FL","45 to 55",0,"florida"
"1719","Joe Biden","female","white","Graduated college","TN","60 plus",1,"tennessee"
"1720","Joe Biden","female","chinese","Graduated college","PA","30 to 44",1,"pennsylvania"
"1721","Joe Biden","female","white","Graduated college","AZ","60 plus",1,"arizona"
"1722","Donald Trump","female","white","Graduated high school","IL","18 to 29",0,"illinois"
"1723","Joe Biden","female","white","Graduated high school","OH","45 to 55",1,"ohio"
"1724","Joe Biden","female","chinese","Graduated college","NJ","45 to 55",1,"new jersey"
"1725","Donald Trump","female","white","Graduated college","VT","45 to 55",0,"vermont"
"1726","Donald Trump","female","white","Graduated high school","MO","60 plus",0,"missouri"
"1727","Joe Biden","female","black/african american","Graduated high school","NY","18 to 29",1,"new york"
"1728","Joe Biden","female","black/african american","Didn't graduate college","AL","30 to 44",1,"alabama"
"1729","Joe Biden","female","white","Graduated college","NV","60 plus",1,"nevada"
"1730","Joe Biden","female","white","Graduated college","VA","60 plus",1,"virginia"
"1731","Joe Biden","female","chinese","Graduated college","WA","30 to 44",1,"washington"
"1732","Donald Trump","female","white","Graduated high school","IN","60 plus",0,"indiana"
"1733","Joe Biden","female","white","Graduated college","CA","60 plus",1,"california"
"1734","Joe Biden","male","white","Graduated college","CA","30 to 44",1,"california"
"1735","Donald Trump","female","white","Didn't graduate college","MS","60 plus",0,"mississippi"
"1736","Joe Biden","male","black/african american","Graduated college","CA","60 plus",1,"california"
"1737","Joe Biden","female","white","Graduated high school","MO","30 to 44",1,"missouri"
"1738","Joe Biden","female","black/african american","Graduated high school","MO","60 plus",1,"missouri"
"1739","Joe Biden","male","black/african american","Didn't graduate college","IL","18 to 29",1,"illinois"
"1740","Joe Biden","male","white","Graduated college","FL","45 to 55",1,"florida"
"1741","Joe Biden","female","white","Graduated college","MO","60 plus",1,"missouri"
"1742","Joe Biden","female","other race, nec","Graduated college","TX","18 to 29",1,"texas"
"1743","Joe Biden","female","white","Graduated college","TX","45 to 55",1,"texas"
"1744","Donald Trump","male","white","Graduated college","CA","30 to 44",0,"california"
"1745","Donald Trump","male","white","Graduated college","AR","60 plus",0,"arkansas"
"1746","Joe Biden","female","black/african american","Didn't graduate high school","CA","30 to 44",1,"california"
"1747","Joe Biden","female","white","Didn't graduate college","FL","30 to 44",1,"florida"
"1748","Donald Trump","male","black/african american","Graduated high school","FL","30 to 44",0,"florida"
"1749","Joe Biden","male","black/african american","Didn't graduate high school","NY","18 to 29",1,"new york"
"1750","Joe Biden","male","other asian or pacific islander","Graduated college","CA","30 to 44",1,"california"
"1751","Donald Trump","male","white","Graduated college","NY","60 plus",0,"new york"
"1752","Joe Biden","male","white","Graduated college","PA","30 to 44",1,"pennsylvania"
"1753","Donald Trump","female","white","Didn't graduate college","AZ","30 to 44",0,"arizona"
"1754","Donald Trump","female","white","Graduated college","IL","60 plus",0,"illinois"
"1755","Joe Biden","female","american indian or alaska native","Didn't graduate high school","IL","30 to 44",1,"illinois"
"1756","Joe Biden","male","white","Graduated college","NY","60 plus",1,"new york"
"1757","Joe Biden","female","white","Graduated college","IL","18 to 29",1,"illinois"
"1758","Donald Trump","female","white","Didn't graduate high school","GA","60 plus",0,"georgia"
"1759","Donald Trump","male","white","Graduated high school","MO","45 to 55",0,"missouri"
"1760","Joe Biden","male","white","Graduated high school","FL","45 to 55",1,"florida"
"1761","Donald Trump","female","white","Graduated college","NJ","30 to 44",0,"new jersey"
"1762","Donald Trump","male","white","Graduated college","WA","60 plus",0,"washington"
"1763","Donald Trump","male","white","Didn't graduate college","CO","30 to 44",0,"colorado"
"1764","Joe Biden","female","other race, nec","Didn't graduate high school","CA","18 to 29",1,"california"
"1765","Donald Trump","female","white","Didn't graduate college","TX","45 to 55",0,"texas"
"1766","Joe Biden","male","white","Graduated college","KY","30 to 44",1,"kentucky"
"1767","Donald Trump","female","white","Graduated college","FL","60 plus",0,"florida"
"1768","Joe Biden","male","white","Didn't graduate college","IN","60 plus",1,"indiana"
"1769","Joe Biden","female","white","Graduated college","NY","60 plus",1,"new york"
"1770","Joe Biden","female","white","Graduated college","CT","30 to 44",1,"connecticut"
"1771","Donald Trump","male","white","Graduated high school","NJ","18 to 29",0,"new jersey"
"1772","Joe Biden","male","other asian or pacific islander","Graduated high school","CA","30 to 44",1,"california"
"1773","Donald Trump","female","white","Graduated high school","IA","45 to 55",0,"iowa"
"1774","Joe Biden","female","white","Graduated high school","PA","45 to 55",1,"pennsylvania"
"1775","Donald Trump","female","white","Didn't graduate high school","AZ","18 to 29",0,"arizona"
"1776","Donald Trump","female","white","Graduated high school","MI","45 to 55",0,"michigan"
"1777","Joe Biden","male","white","Graduated college","IA","45 to 55",1,"iowa"
"1778","Donald Trump","male","white","Graduated college","FL","18 to 29",0,"florida"
"1779","Joe Biden","female","white","Didn't graduate high school","TN","18 to 29",1,"tennessee"
"1780","Donald Trump","male","white","Didn't graduate high school","VA","18 to 29",0,"virginia"
"1781","Joe Biden","male","white","Graduated college","MO","45 to 55",1,"missouri"
"1782","Joe Biden","female","white","Graduated college","CA","30 to 44",1,"california"
"1783","Joe Biden","male","black/african american","Didn't graduate high school","IN","18 to 29",1,"indiana"
"1784","Joe Biden","male","white","Graduated college","VA","30 to 44",1,"virginia"
"1785","Joe Biden","female","black/african american","Didn't graduate college","MI","60 plus",1,"michigan"
"1786","Joe Biden","male","white","Graduated college","FL","45 to 55",1,"florida"
"1787","Joe Biden","male","black/african american","Graduated high school","VA","30 to 44",1,"virginia"
"1788","Donald Trump","male","white","Graduated college","PA","60 plus",0,"pennsylvania"
"1789","Joe Biden","female","white","Didn't graduate high school","MA","30 to 44",1,"massachusetts"
"1790","Joe Biden","female","white","Didn't graduate high school","OH","30 to 44",1,"ohio"
"1791","Joe Biden","male","white","Graduated college","CO","18 to 29",1,"colorado"
"1792","Joe Biden","female","other asian or pacific islander","Graduated college","CA","30 to 44",1,"california"
"1793","Donald Trump","female","white","Graduated high school","LA","18 to 29",0,"louisiana"
"1794","Joe Biden","male","white","Graduated college","FL","60 plus",1,"florida"
"1795","Joe Biden","male","black/african american","Graduated college","NC","60 plus",1,"north carolina"
"1796","Donald Trump","male","white","Graduated college","MD","45 to 55",0,"maryland"
"1797","Joe Biden","female","white","Graduated college","NY","18 to 29",1,"new york"
"1798","Joe Biden","female","white","Didn't graduate college","MA","60 plus",1,"massachusetts"
"1799","Joe Biden","male","white","Graduated college","OH","30 to 44",1,"ohio"
"1800","Joe Biden","female","black/african american","Didn't graduate college","CA","45 to 55",1,"california"
"1801","Joe Biden","female","white","Graduated high school","OR","30 to 44",1,"oregon"
"1802","Joe Biden","male","white","Graduated college","MO","30 to 44",1,"missouri"
"1803","Joe Biden","male","white","Graduated high school","MD","60 plus",1,"maryland"
"1804","Donald Trump","female","white","Didn't graduate high school","KY","30 to 44",0,"kentucky"
"1805","Joe Biden","male","white","Didn't graduate college","WA","60 plus",1,"washington"
"1806","Donald Trump","female","white","Graduated high school","NH","45 to 55",0,"new hampshire"
"1807","Joe Biden","female","other race, nec","Graduated college","CA","30 to 44",1,"california"
"1808","Joe Biden","female","black/african american","Graduated high school","FL","30 to 44",1,"florida"
"1809","Donald Trump","female","black/african american","Didn't graduate high school","CT","30 to 44",0,"connecticut"
"1810","Joe Biden","male","other asian or pacific islander","Didn't graduate high school","CA","18 to 29",1,"california"
"1811","Donald Trump","male","white","Graduated college","KS","45 to 55",0,"kansas"
"1812","Joe Biden","male","other race, nec","Didn't graduate high school","CA","45 to 55",1,"california"
"1813","Donald Trump","female","other race, nec","Graduated high school","TX","60 plus",0,"texas"
"1814","Joe Biden","female","white","Didn't graduate high school","WV","60 plus",1,"west virginia"
"1815","Joe Biden","male","black/african american","Didn't graduate college","NY","45 to 55",1,"new york"
"1816","Donald Trump","female","white","Graduated college","TX","18 to 29",0,"texas"
"1817","Joe Biden","female","black/african american","Didn't graduate high school","GA","30 to 44",1,"georgia"
"1818","Donald Trump","female","white","Graduated college","LA","60 plus",0,"louisiana"
"1819","Joe Biden","male","white","Didn't graduate college","TX","30 to 44",1,"texas"
"1820","Donald Trump","male","white","Didn't graduate college","OH","18 to 29",0,"ohio"
"1821","Donald Trump","male","white","Graduated college","CA","30 to 44",0,"california"
"1822","Joe Biden","female","white","Didn't graduate high school","WI","30 to 44",1,"wisconsin"
"1823","Donald Trump","female","white","Didn't graduate high school","MO","30 to 44",0,"missouri"
"1824","Joe Biden","female","other race, nec","Didn't graduate high school","RI","30 to 44",1,"rhode island"
"1825","Joe Biden","male","white","Didn't graduate high school","KY","18 to 29",1,"kentucky"
"1826","Joe Biden","female","black/african american","Graduated college","GA","30 to 44",1,"georgia"
"1827","Joe Biden","female","black/african american","Graduated high school","MD","30 to 44",1,"maryland"
"1828","Joe Biden","female","black/african american","Graduated college","NY","30 to 44",1,"new york"
"1829","Donald Trump","male","white","Graduated college","MO","60 plus",0,"missouri"
"1830","Donald Trump","male","white","Didn't graduate high school","FL","18 to 29",0,"florida"
"1831","Donald Trump","male","other asian or pacific islander","Graduated college","OK","45 to 55",0,"oklahoma"
"1832","Joe Biden","female","white","Graduated college","PA","60 plus",1,"pennsylvania"
"1833","Donald Trump","female","white","Didn't graduate college","AZ","30 to 44",0,"arizona"
"1834","Joe Biden","male","white","Graduated college","IL","60 plus",1,"illinois"
"1835","Joe Biden","male","white","Didn't graduate high school","MI","18 to 29",1,"michigan"
"1836","Joe Biden","female","other race, nec","Didn't graduate high school","TX","30 to 44",1,"texas"
"1837","Donald Trump","female","white","Graduated college","NJ","30 to 44",0,"new jersey"
"1838","Donald Trump","male","white","Graduated college","CA","18 to 29",0,"california"
"1839","Donald Trump","female","white","Didn't graduate high school","GA","30 to 44",0,"georgia"
"1840","Donald Trump","female","white","Graduated high school","KS","45 to 55",0,"kansas"
"1841","Joe Biden","male","white","Didn't graduate high school","TX","18 to 29",1,"texas"
"1842","Joe Biden","male","white","Graduated college","IN","45 to 55",1,"indiana"
"1843","Joe Biden","female","black/african american","Didn't graduate high school","IN","45 to 55",1,"indiana"
"1844","Joe Biden","female","other race, nec","Didn't graduate college","WI","18 to 29",1,"wisconsin"
"1845","Donald Trump","female","white","Graduated college","NC","30 to 44",0,"north carolina"
"1846","Joe Biden","female","white","Graduated college","ID","30 to 44",1,"idaho"
"1847","Joe Biden","female","other race, nec","Didn't graduate college","NY","30 to 44",1,"new york"
"1848","Joe Biden","male","black/african american","Didn't graduate high school","CA","30 to 44",1,"california"
"1849","Joe Biden","female","black/african american","Graduated high school","FL","18 to 29",1,"florida"
"1850","Joe Biden","female","white","Graduated high school","OH","45 to 55",1,"ohio"
"1851","Joe Biden","female","other race, nec","Graduated college","FL","18 to 29",1,"florida"
"1852","Joe Biden","male","white","Didn't graduate college","NY","45 to 55",1,"new york"
"1853","Joe Biden","male","white","Graduated college","AZ","30 to 44",1,"arizona"
"1854","Donald Trump","female","white","Graduated college","PA","30 to 44",0,"pennsylvania"
"1855","Joe Biden","male","white","Graduated college","CO","60 plus",1,"colorado"
"1856","Donald Trump","male","white","Graduated college","NE","60 plus",0,"nebraska"
"1857","Donald Trump","female","white","Didn't graduate high school","KY","18 to 29",0,"kentucky"
"1858","Donald Trump","female","black/african american","Didn't graduate college","PA","18 to 29",0,"pennsylvania"
"1859","Joe Biden","male","white","Graduated college","WI","30 to 44",1,"wisconsin"
"1860","Joe Biden","male","other race, nec","Graduated high school","NY","45 to 55",1,"new york"
"1861","Donald Trump","male","white","Graduated college","NJ","60 plus",0,"new jersey"
"1862","Joe Biden","male","white","Graduated college","NM","60 plus",1,"new mexico"
"1863","Donald Trump","male","white","Graduated college","OK","30 to 44",0,"oklahoma"
"1864","Donald Trump","female","white","Didn't graduate high school","VA","18 to 29",0,"virginia"
"1865","Joe Biden","male","white","Graduated college","OK","45 to 55",1,"oklahoma"
"1866","Donald Trump","male","white","Graduated college","IL","45 to 55",0,"illinois"
"1867","Donald Trump","male","white","Didn't graduate college","FL","30 to 44",0,"florida"
"1868","Joe Biden","female","white","Graduated college","DE","60 plus",1,"delaware"
"1869","Donald Trump","male","white","Graduated college","DC","30 to 44",0,"district of columbia"
"1870","Joe Biden","female","other asian or pacific islander","Didn't graduate high school","FL","18 to 29",1,"florida"
"1871","Joe Biden","male","other race, nec","Graduated college","CA","30 to 44",1,"california"
"1872","Joe Biden","male","white","Didn't graduate college","CT","60 plus",1,"connecticut"
"1873","Donald Trump","male","chinese","Didn't graduate college","TX","60 plus",0,"texas"
"1874","Joe Biden","male","white","Didn't graduate college","FL","30 to 44",1,"florida"
"1875","Joe Biden","female","other race, nec","Didn't graduate high school","MD","18 to 29",1,"maryland"
"1876","Joe Biden","male","white","Graduated high school","MD","18 to 29",1,"maryland"
"1877","Joe Biden","male","white","Didn't graduate college","CT","18 to 29",1,"connecticut"
"1878","Donald Trump","female","white","Graduated high school","MA","30 to 44",0,"massachusetts"
"1879","Joe Biden","female","white","Didn't graduate high school","TN","60 plus",1,"tennessee"
"1880","Joe Biden","female","white","Didn't graduate high school","OR","30 to 44",1,"oregon"
"1881","Joe Biden","male","white","Graduated high school","FL","18 to 29",1,"florida"
"1882","Joe Biden","female","black/african american","Didn't graduate high school","CA","45 to 55",1,"california"
"1883","Joe Biden","male","white","Graduated college","PA","45 to 55",1,"pennsylvania"
"1884","Donald Trump","male","white","Graduated college","TN","45 to 55",0,"tennessee"
"1885","Joe Biden","female","other race, nec","Graduated high school","AZ","18 to 29",1,"arizona"
"1886","Joe Biden","male","white","Didn't graduate college","FL","60 plus",1,"florida"
"1887","Joe Biden","female","black/african american","Graduated college","TX","45 to 55",1,"texas"
